cruise,st,depth_m,substrate,method,repl,silver.grain_um2/h
MOBY,M2,100,Met,MAR,A,0.422851509
MOBY,M2,100,Met,MAR,A,0.048634678
MOBY,M2,100,Met,MAR,A,0.032423119
MOBY,M2,100,Met,MAR,A,0.480942931
MOBY,M2,100,Met,MAR,A,0.087812614
MOBY,M2,100,Met,MAR,A,0.194538714
MOBY,M2,100,Met,MAR,A,0.058091421
MOBY,M2,100,Met,MAR,A,0.083759724
MOBY,M2,100,Met,MAR,A,0.152658852
MOBY,M2,100,Met,MAR,A,0.326933116
MOBY,M2,100,Met,MAR,A,0.037826972
MOBY,M2,100,Met,MAR,A,0.433659216
MOBY,M2,100,Met,MAR,A,0.151307888
MOBY,M2,100,Met,MAR,A,0.39042839
MOBY,M2,100,Met,MAR,A,0.224259906
MOBY,M2,100,Met,MAR,A,0.062144311
MOBY,M2,100,Met,MAR,A,0.252630135
MOBY,M2,100,Met,MAR,A,0.017562523
MOBY,M2,100,Met,MAR,A,0.144553072
MOBY,M2,100,Met,MAR,A,0.2134522
MOBY,M2,100,Met,MAR,A,0.187783897
MOBY,M2,100,Met,MAR,A,0.118884769
MOBY,M2,100,Met,MAR,A,0.426904399
MOBY,M2,100,Met,MAR,A,0.151307888
MOBY,M2,100,Met,MAR,A,0.251279172
MOBY,M2,100,Met,MAR,A,0.078355871
MOBY,M2,100,Met,MAR,A,0.054038532
MOBY,M2,100,Met,MAR,A,0.09051454
MOBY,M2,100,Met,MAR,A,0.056740458
MOBY,M2,100,Met,MAR,A,0.356654308
MOBY,M2,100,Met,MAR,A,0.105375136
MOBY,M2,100,Met,MAR,A,0.224259906
MOBY,M2,100,Met,MAR,A,0.032423119
MOBY,M2,100,Met,MAR,A,0.136447292
MOBY,M2,100,Met,MAR,A,0.060793348
MOBY,M2,100,Met,MAR,A,0.283702291
MOBY,M2,100,Met,MAR,A,0.40258706
MOBY,M2,100,Met,MAR,A,0.101322247
MOBY,M2,100,Met,MAR,A,0.348548528
MOBY,M2,100,Met,MAR,A,0.044581789
MOBY,M2,100,Met,MAR,A,0.025668302
MOBY,M2,100,Met,MAR,A,0.194538714
MOBY,M2,100,Met,MAR,A,0.293159034
MOBY,M2,100,Met,MAR,A,0.194538714
MOBY,M2,100,Met,MAR,A,0.147254998
MOBY,M2,100,Met,MAR,A,0.176976191
MOBY,M2,100,Met,MAR,A,0.025668302
MOBY,M2,100,Met,MAR,A,0.029721192
MOBY,M2,100,Met,MAR,A,0.014860596
MOBY,M2,100,Met,MAR,A,0.020264449
MOBY,M2,100,Met,MAR,A,0.236418575
MOBY,M2,100,Met,MAR,A,0.224259906
MOBY,M2,100,Met,MAR,A,0.347197565
MOBY,M2,100,Met,MAR,A,0.056740458
MOBY,M2,100,Met,MAR,A,0.11077899
MOBY,M2,100,Met,MAR,A,0.443115959
MOBY,M2,100,Met,MAR,A,0.267490731
MOBY,M2,100,Met,MAR,A,0.052687568
MOBY,M2,100,Met,MAR,A,0.077004907
MOBY,M2,100,Met,MAR,A,0.131043439
MOBY,M2,100,Met,MAR,A,0.206697383
MOBY,M2,100,Met,MAR,A,0.378269721
MOBY,M2,100,Met,MAR,A,0.066197201
MOBY,M2,100,Met,MAR,A,0.091865504
MOBY,M2,100,Met,MAR,A,0.133745366
MOBY,M2,100,Met,MAR,A,0.375567794
MOBY,M2,100,Met,MAR,A,0.543087242
MOBY,M2,100,Met,MAR,A,0.047283715
MOBY,M2,100,Met,MAR,A,0.028370229
MOBY,M2,100,Met,MAR,A,0.072952018
MOBY,M2,100,Met,MAR,A,0.195889677
MOBY,M2,100,Met,MAR,A,0.466082334
MOBY,M2,100,Met,MAR,A,0.060793348
MOBY,M2,100,Met,MAR,A,0.085110687
MOBY,M2,100,Met,MAR,A,0.017562523
MOBY,M2,100,Met,MAR,A,0.044581789
MOBY,M2,100,Met,MAR,A,0.059442385
MOBY,M2,100,Met,MAR,A,0.590370957
MOBY,M2,100,Met,MAR,A,0.376918757
MOBY,M2,100,Met,MAR,A,0.040528899
MOBY,M2,100,Met,MAR,A,0.09456743
MOBY,M2,100,Met,MAR,A,0.131043439
MOBY,M2,100,Met,MAR,A,0.309370593
MOBY,M2,100,Met,MAR,A,0.058091421
MOBY,M2,100,Met,MAR,A,0.144553072
MOBY,M2,100,Met,MAR,A,0.320178299
MOBY,M2,100,Met,MAR,A,0.099971283
MOBY,M2,100,Met,MAR,A,0.444466922
MOBY,M2,100,Met,MAR,A,0.222908943
MOBY,M2,100,Met,MAR,A,0.028370229
MOBY,M2,100,Met,MAR,A,0.171572338
MOBY,M2,100,Met,MAR,A,0.168870411
MOBY,M2,100,Met,MAR,A,0.025668302
MOBY,M2,100,Met,MAR,A,0.163466558
MOBY,M2,100,Met,MAR,A,0.117533806
MOBY,M2,100,Met,MAR,A,0.027019266
MOBY,M2,100,Met,MAR,A,0.506611233
MOBY,M2,100,Met,MAR,A,0.253981098
MOBY,M2,100,Met,MAR,A,0.08646165
MOBY,M2,100,Met,MAR,A,0.121586696
MOBY,M2,100,Met,MAR,A,0.537683389
MOBY,M2,100,Met,MAR,A,0.09051454
MOBY,M2,100,Met,MAR,A,0.368812978
MOBY,M2,100,Met,MAR,A,0.035125045
MOBY,M2,100,Met,MAR,A,0.449870775
MOBY,M2,100,Met,MAR,A,0.166168484
MOBY,M2,100,Met,MAR,A,0.1067261
