cruise,st,depth_m,substrate,method,repl,intensity_MGV.um2/h
MOBY,M2,500,HPG,BONCAT,A,3.674773066
MOBY,M2,500,HPG,BONCAT,A,14.76951814
MOBY,M2,500,HPG,BONCAT,A,1.489551031
MOBY,M2,500,HPG,BONCAT,A,1.630638071
MOBY,M2,500,HPG,BONCAT,A,1.608488693
MOBY,M2,500,HPG,BONCAT,A,3.575226044
MOBY,M2,500,HPG,BONCAT,A,4.345730063
MOBY,M2,500,HPG,BONCAT,A,0.940560496
MOBY,M2,500,HPG,BONCAT,A,1.694461764
MOBY,M2,500,HPG,BONCAT,A,1.207261611
MOBY,M2,500,HPG,BONCAT,A,3.019446565
MOBY,M2,500,HPG,BONCAT,A,1.410786706
MOBY,M2,500,HPG,BONCAT,A,0.855811066
MOBY,M2,500,HPG,BONCAT,A,3.353034638
MOBY,M2,500,HPG,BONCAT,A,3.045745197
MOBY,M2,500,HPG,BONCAT,A,0.583865548
MOBY,M2,500,HPG,BONCAT,A,1.538267541
MOBY,M2,500,HPG,BONCAT,A,1.329147751
MOBY,M2,500,HPG,BONCAT,A,5.766058932
MOBY,M2,500,HPG,BONCAT,A,0.775488223
MOBY,M2,500,HPG,BONCAT,A,0.646023554
MOBY,M2,500,HPG,BONCAT,A,4.795886002
MOBY,M2,500,HPG,BONCAT,A,5.45241049
MOBY,M2,500,HPG,BONCAT,A,2.932640857
MOBY,M2,500,HPG,BONCAT,A,0.277258362
MOBY,M2,500,HPG,BONCAT,A,4.554001868
MOBY,M2,500,HPG,BONCAT,A,5.799213614
MOBY,M2,500,HPG,BONCAT,A,3.666916108
MOBY,M2,500,HPG,BONCAT,A,2.55027541
MOBY,M2,500,HPG,BONCAT,A,0.686845192
MOBY,M2,500,HPG,BONCAT,A,2.720290821
MOBY,M2,500,HPG,BONCAT,A,1.200052509
MOBY,M2,500,HPG,BONCAT,A,1.466098203
MOBY,M2,500,HPG,BONCAT,A,0.605851905
MOBY,M2,500,HPG,BONCAT,A,3.632451576
MOBY,M2,500,HPG,BONCAT,A,0.91135026
MOBY,M2,500,HPG,BONCAT,A,0.81622938
MOBY,M2,500,HPG,BONCAT,A,5.955649501
MOBY,M2,500,HPG,BONCAT,A,0.316689677
MOBY,M2,500,HPG,BONCAT,A,2.594909554
MOBY,M2,500,HPG,BONCAT,A,1.928645105
MOBY,M2,500,HPG,BONCAT,A,3.352782861
MOBY,M2,500,HPG,BONCAT,A,0.628806109
MOBY,M2,500,HPG,BONCAT,A,0.940609674
MOBY,M2,500,HPG,BONCAT,A,4.650212003
MOBY,M2,500,HPG,BONCAT,A,5.196854752
MOBY,M2,500,HPG,BONCAT,A,2.196337936
MOBY,M2,500,HPG,BONCAT,A,3.757308865
MOBY,M2,500,HPG,BONCAT,A,1.209198536
MOBY,M2,500,HPG,BONCAT,A,1.227969714
MOBY,M2,500,HPG,BONCAT,A,2.204907805
MOBY,M2,500,HPG,BONCAT,A,2.74667919
MOBY,M2,500,HPG,BONCAT,A,0.349314055
MOBY,M2,500,HPG,BONCAT,A,3.060149643
MOBY,M2,500,HPG,BONCAT,A,0.530728951
MOBY,M2,500,HPG,BONCAT,A,1.372446504
MOBY,M2,500,HPG,BONCAT,A,4.384354793
MOBY,M2,500,HPG,BONCAT,A,2.167778333
MOBY,M2,500,HPG,BONCAT,A,2.084017633
MOBY,M2,500,HPG,BONCAT,A,2.145930252
MOBY,M2,500,HPG,BONCAT,A,2.789514001
MOBY,M2,500,HPG,BONCAT,A,2.246982404
MOBY,M2,500,HPG,BONCAT,A,0.400439328
MOBY,M2,500,HPG,BONCAT,A,2.666780211
MOBY,M2,500,HPG,BONCAT,A,3.22462827
MOBY,M2,500,HPG,BONCAT,A,0.991339185
MOBY,M2,500,HPG,BONCAT,A,2.56788748
MOBY,M2,500,HPG,BONCAT,A,5.475249995
MOBY,M2,500,HPG,BONCAT,A,2.05909869
MOBY,M2,500,HPG,BONCAT,A,4.325343276
MOBY,M2,500,HPG,BONCAT,A,0.997860266
MOBY,M2,500,HPG,BONCAT,A,3.131248204
MOBY,M2,500,HPG,BONCAT,A,3.170355547
MOBY,M2,500,HPG,BONCAT,A,1.846781027
MOBY,M2,500,HPG,BONCAT,A,0.626675855
MOBY,M2,500,HPG,BONCAT,A,2.437113318
MOBY,M2,500,HPG,BONCAT,A,2.705359795
MOBY,M2,500,HPG,BONCAT,A,2.850424565
MOBY,M2,500,HPG,BONCAT,A,0.91135026
MOBY,M2,500,HPG,BONCAT,A,6.034054694
MOBY,M2,500,HPG,BONCAT,A,1.367499477
MOBY,M2,500,HPG,BONCAT,A,2.411684528
MOBY,M2,500,HPG,BONCAT,A,5.964161085
MOBY,M2,500,HPG,BONCAT,A,4.989452437
MOBY,M2,500,HPG,BONCAT,A,4.239176144
MOBY,M2,500,HPG,BONCAT,A,1.777276542
MOBY,M2,500,HPG,BONCAT,A,6.582963504
MOBY,M2,500,HPG,BONCAT,A,13.23589261
MOBY,M2,500,HPG,BONCAT,A,3.111299489
MOBY,M2,500,HPG,BONCAT,A,1.652894647
MOBY,M2,500,HPG,BONCAT,A,10.83655586
MOBY,M2,500,HPG,BONCAT,A,2.742598519
MOBY,M2,500,HPG,BONCAT,A,1.589212921
MOBY,M2,500,HPG,BONCAT,A,4.191255969
MOBY,M2,500,HPG,BONCAT,A,1.236438315
MOBY,M2,500,HPG,BONCAT,A,0.930726357
MOBY,M2,500,HPG,BONCAT,A,1.839867872
MOBY,M2,500,HPG,BONCAT,A,1.761602491
MOBY,M2,500,HPG,BONCAT,A,4.974766783
MOBY,M2,500,HPG,BONCAT,A,3.236659701
MOBY,M2,500,HPG,BONCAT,A,4.59549116
MOBY,M2,500,HPG,BONCAT,A,2.999064909
MOBY,M2,500,HPG,BONCAT,A,2.319058979
MOBY,M2,500,HPG,BONCAT,A,2.962128032
MOBY,M2,500,HPG,BONCAT,A,1.067061902
MOBY,M2,500,HPG,BONCAT,A,1.059406711
MOBY,M2,500,HPG,BONCAT,A,1.098434931
MOBY,M2,500,HPG,BONCAT,A,7.586332779
MOBY,M2,500,HPG,BONCAT,A,3.069913059
MOBY,M2,500,HPG,BONCAT,A,3.026344498
MOBY,M2,500,HPG,BONCAT,A,0.671236643
MOBY,M2,500,HPG,BONCAT,A,2.667995344
MOBY,M2,500,HPG,BONCAT,A,5.121725786
MOBY,M2,500,HPG,BONCAT,A,0.301738629
MOBY,M2,500,HPG,BONCAT,A,4.428825829
MOBY,M2,500,HPG,BONCAT,A,5.67354683
MOBY,M2,500,HPG,BONCAT,A,1.925130957
